,city,company,jobTitle,meanPay
311,New Delhi (India),Dew Solutions,Senior Software Engineer,"xx,xxx/yr"
312,New Delhi (India),HCL Infosystems,Senior Software Engineer - Monthly,"xx,xxx/mo"
313,New Delhi (India),ION Group,Senior Software Engineer,"xx,xxx/yr"
314,New Delhi (India),Yamaha Motor Solutions India,Senior Software Engineer,"xx,xxx/yr"
315,New Delhi (India),MagicBricks,Senior Software Engineer,"xx,xxx/yr"
316,New Delhi (India),1mg,Senior Software Engineer,"xx,xxx/yr"
317,New Delhi (India),QA InfoTech,Senior Software Engineer - Monthly,"xx,xxx/mo"
318,New Delhi (India),Mobiloitte,Senior Software Engineer,"xx,xxx/yr"
319,New Delhi (India),Freescale Semiconductor,Senior Software Engineer,"xx,xxx/yr"
320,New Delhi (India),Sopra Banking Software,Senior Software Engineer,"6,60,071/yr"
321,New Delhi (India),Paytm,Senior Software Engineer,"20,67,914/yr"
322,New Delhi (India),KiwiTech,Senior Software Engineer - Monthly,"89,100/mo"
323,New Delhi (India),Rapidsoft Technologies,Senior Software Engineer,"xx,xxx/yr"
324,New Delhi (India),Junglee Games,Senior Software Engineer,"xx,xxx/yr"
325,New Delhi (India),Appster,Senior Software Engineer,"xx,xxx/yr"
326,New Delhi (India),Sprinklr,Senior Software Engineer,"xx,xxx/yr"
327,New Delhi (India),QSS Technosoft,Senior Software Engineer - Monthly,"xx,xxx/mo"
328,New Delhi (India),Fidelity International,Senior Software Engineer,"xx,xxx/yr"
329,New Delhi (India),HARMAN,Senior Software Engineer - Monthly,"xx,xxx/mo"
330,New Delhi (India),Cognizant Technology Solutions,Senior Software Engineer,"xx,xxx/yr"
331,New Delhi (India),Gartner,Senior Software Engineer,"xx,xxx/yr"
332,New Delhi (India),Enbake Consulting,Senior Software Engineer - Monthly,"xx,xxx/mo"
333,New Delhi (India),SRI Delhi,Senior Software Engineer,"xx,xxx/yr"
334,New Delhi (India),Rolta,Senior Software Engineer,"xx,xxx/yr"
335,New Delhi (India),Cognilytics,Senior Software Engineer,"xx,xxx/yr"
336,New Delhi (India),Paisabazaar.com,Senior Software Engineer,"xx,xxx/yr"
337,New Delhi (India),Delhivery,Senior Software Engineer,"xx,xxx/yr"
